,comments
149,Superb high quality Intellectual content on key concepts underlying thermal imaging techniques of optical sensing in real time spaced Environments.
150,"Excellent info! Thanks a lot.
Can you explain in detail how a lepton sensor in a flir camera works?"
151,Thank god i clicked on this its exactly what I was looking for 🤠
152,mentions NVG but shows VR Headset
153,HVAC use.
154,Good video but the music is terrible.
155,could we scan this for Jinns (ghosts) ?
156,Beautiful video but no views sadly
157,"► SUBSCRIBE, PLEASE: https://bit.ly/2QToKeE

TOP 5: Best Thermal Imaging Camera for Home Inspection 2021 

►Amazon US Links◄

5. Seek Shot – All-Purpose Thermal Imaging Camera

Amazon US: https://amzn.to/3quCtIj

4. 220 x160 IR Infrared Thermal Imager Camera Rechargeable Handheld, 35200 Pixels Temperature Automatic Tracking Thermal Imaging Camera 

Amazon US: https://amzn.to/35Ln2Dw

3. FLIR E4 Compact Best Thermal Imaging Camera for Home Inspection 2021 with 80 x 60 IR Resolution and MSX

Amazon US: https://amzn.to/3qqZqMl

2. FLIR TG165 - Spot Thermal Camera - with 2-Meter Drop Durability for Your Toughest Jobs

Amazon US: https://amzn.to/39DZPV2

1. Seek Thermal Compact – All-Purpose Thermal Imaging Camera for Android MicroUSB

Amazon US: https://amzn.to/2N9FaR8"
158,Useful content! Thanks!
159,"This is misrepresentative. This is a FLIR advertisement, not a review."
160,Nice ...very informatives☺️
161,I don’t see how having 4 or 5 modes is “simpler than a smartphone”
162,Great for home! ❤️
163,Thanks for this!
164,Thanks for sharing
165,I dont want one for home inspection . I want to know where people have been . Where they have been sitting or laying down .
166,Alina a Ad covered the video.  YouTube fail.
167,"Alibaba Ad covered video , YouTube fail.  YouTube autocorrected Alibaba to jibbberish"
168,Rubbish! This is not a review!! NOT SUBSCRIBING TO THIS MISLEADING CHANNEL!!
169,"Didn't get this at all.  It's not a review of any of the devices, it's just to show what a TI camera can do (which we all know).  It's just an advertisement for the cameras,  What a shame.  It could have been very useful but it was just a misrepresentation."
170,music...to loud and bs imo could not finish
171,Worthless
172,@0.0 mute
173,Can you damage an infrared thermometer by pointing it at something too hot?
174,"IS it available in India, and the cost Please"
175,"Which is better to me,  if i used for finding out the water presents under the tiles...
Plz rply..."
176,Which one is preferred for body temperature reading
177,Thermal camera can how long it detect
178,Which thermometer is better-Infrared or thermal?
179,"please, i need to buy the thermal camera, give me the web site to buy it"
180,How much price
181,What a great video with informative content👍I also like Infiray P2 Pro thermal camera. It really amazed me because it supports secondary analysis of the temperature data in the thermal images. And I can connect it directly to the smartphone for plug-and-play accurate temperature measurement. Very convenient!
182,Thanks
183,"I'm sure you've figured this out by now, but it's actually an issue of parallax - why the thermal square appears below the electrical outlet. It's in fact the outlet itself. The visible and infrared images don't always align. There may be a setting to help adjust."
184,The spots in the ceiling could be caused by gaps in insulation or places where mice have eaten insulation.  What you want to do is rapidly change the temperature in the environment if you want to 'see' water.   Home inspectors who use these undergo training and certification so they don't go unnecessarily freaking out homebuyers about roof leaks...
185,"Thermal uncovers many issues not observed by the human eye. I use several Flir products, E96 backed up with a Protimeter moisture meters MMS3. I like the built in hydrometer. Nice video uncovering many issues-we never have enough tools in the moisture and thermal imaging inspection business. Thank for the video"
186,I'm changing careers from public school teacher to home inspector.  I appreciated your video.  Thanks for posting.
187,"Awsome video, I’m a public insurance adjuster looking to upgrade my moisture meter from lowes to a flir mr277. Before such an investment I want to make sure the tech actually works. This video was super informative and I feel much better about spending that much money on a tool I’m going to be using daily. Thanks!"
188,"Thanks so much for this video, I want it to check where the heat is coming in from and make my home cooler during the summer. 

This is the only video I found of someone waking around with the camera, it allowed me to check how far away I can look with the camera. It seems it will suit me perfectly!"
189,Thermal cameras are one of the handiest tools for finding issues. Too bad they're still so expensive for good ones
190,"Hello, I have a question: I would like to make an infrared measurement in a region where the climate is incredibly hot (up to 50°C / 122°F). What do I have to consider when entering the measurement parameters? Can I leave the default settings as they are or do I have to change them (e.g. emissivity)?"
191,"Yeah electric fittings letting draughts in  seem to be responsible for some cold spots, sockets, light fittings and switches."
192,"That was nice.
Thank you"
193,Hi Mark.  Thanks for the video.  Hey what model infrared camera are you using.
194,I live where it's hot and my A/C is more important than a heater. Would this work looking for hot air coming in?
195,"I've been searching for this type of content. All of the product review I each so far are bad. They show the product but they don't walk around showing it like the way you did. 
I will be buying one soon and be a video about it soon. I see fun things with it and also to check where the cold air in coming in from my home to so I can fix the problem. Great video. I enjoy it. Thanks."
196,Do you have any referrals in the st. Louis area that can find a leak and repair?
197,Hi Mark question i try to buy Flir one pro.what you think I can see water leak as well.I now you have better camera.Thanks Seb
198,"Which model camera are you using here?  I recently purchased a Flir C5,  as I walk through a home it freezes momentarily & says recalibrating.   I didn't see your do this at all..."
199,You found alot of leaks. Do you need to fix all the leaks or just the major leaks?
200,WOW! If I'm in your area your my realtor!
201,Does it detect water line from outside and inside the house
202,New video - bear attacks: https://youtu.be/8a6_VKTtY5o
203,"SO YOU TRY TO TELL ME, THAT YOU CAN SEE FARTS WITH THERMAL CAMERA, BUT BREATH IS STILL INVISIBLE. WOW."
204,I love how they just act like nothing ever happend 😂😂
205,Feels sad for those people thinking this is real
206,I watched this years ago. But can't get over it 😂😂
207,Even though it was fake I still died laughing 😂😂😂
208,0:45 I laughed so hard
209,"I've spent the last 3 years of my life exclusively watching farts with a thermal camera....and these are fake. OK, back to the grind."
210,I couldn't stop laughing lmao!!
211,I ACTUALLY LOVE THIS 😂😂
212,"plot twist: those ""farts"" are evil spirits leaving the human bodies."
213,😂😂😂 I NEVER LAUGHED SO HARD IN MY ENTIRE LIFE 😂😂😂
214,"Even tho this vid was edited still, it still gives me the laughs"
215,Bruh imagine seeing yourself in this video.
216,The pug one had me on the floor carting and laughing
217,I can’t stop laughing 😂😂😂
218,"That's not how farts dissipate, they tend to move within the cloths but good one, made my day"
219,It’s the little things like this that keeps up from ever. Getting. Sleep.
220,That one dude standing in front of you in line at Disneyland 😂
221,The funny thing is some people think this is real 😂
222,"00:28 5⃣ Klein Tools TI250: https://geni.us/3IVOmYL
02:53 4⃣ Hti-Xintai HT-18: https://geni.us/1L9jEQ
05:34 3⃣ Seek Thermal Revealpro: https://geni.us/eBeILy
07:40 2⃣ FLIR TG267: https://geni.us/H9aIyIM
10:11 1⃣ Hti-Xintai HT-19: https://geni.us/QBoN9"
223,"You said the HTI HT-191 at the end with a sensor of 320x240 was ""easily the highest of any on the list"" but your #3 seek reveal pro has the same resolution. As a general rule, I don't trust any research that's done based on  ""reading customer reviews"". This almost always means just seeing what has the highest Amazon ratings. Does anyone seriously trust Amazon reviews anymore?"
224,"Looks like sponsored ad. Why not mention Infiray devices? I have Infiray T2L attached to my phone via USB-C and it rocks! Manual focus is so great and 25 fps @ 288x192 thermal sensor makes it number one. Alu body, top quality for the price 1/3 of seek thermal reveal pro... Why havent you done deeper research on the market? All these shitty videos about ""top super hiper best"" are just shitty and showing no respect to us - Viewers. Channel banned. And this is mine, not sponsored opinion."
225,No real world test; there’s so many of these generic ‘review’ videos
226,What is the price please
227,Moreover = My favorite word
228,The ammount of bs this clip is saying it made me feel sleepy.
229,This video is a freaking joke.
230,"So, this is how Predators see our life"
231,"Man: Do I have to do this?
Buzzfeed: You are gonna get hard or you're fired"
232,"As a human, we take granted with what we can perceive and totally oblivious to the things we normally do not see. We can only see small degree in a spectrum of light but within that small fraction, we can see so much. Imagine what we miss out on if we can see everything..."
233,"1950s: I bet we will have flying cars in the future!
2014: Filming sexual content with thermal cameras"
234,Slightly disturbing how that happy face started crying...
235,"2:21
when you hit something accidentaly and say that's fine.... BUT IT HURTS REALLY HARD"
236,Poor guy only needed 2 pixels to block out his junk
237,"I've actually wanted to try going about my business with thermal vision only, to see how well I'd cope, not to mention just to see the patterns of color from hot and cold sources.

Too bad Thermal cameras (to say nothing of googles) are ummm, not cheap.  Who knows, maybe 10 or 15 years from now people could get such things the size of sunglasses and reasonably priced.  Technology marches on after all.

One could use IR instead though, maybe?  Wouldn't look as psychedelic though, I expect."
238,This looked really cool! I want to try this at home!
239,"After watching this video, my son said that he'd like to see the world like that. So I bought Infiray T2 Pro thermal monocular as a birthday gift for him. It's cost-effective and my son loves it so much."
240,"1:36 love this thermal shot, looks really cool"
241,"To survive the predator, get behind a glass"
242,Did anyone else think the hair straightener was oddly satisfying?
243,"Is it just me, or was anyone else even slightly surprised when the arousal slide came on? I don't know why, but I like had a mini heart attack 😂"
244,I don't know why but I wish I can see the world like that.
245,How did you guys get such a high framerate sample? I was under the impression that anything over a certain framerate was illegal
246,"At the end that smile...is how we face our life..
And still tears drop"
247,"0:32 What a brave hero, risking his life with a Mac overeating on his knees!"
248,This video... I don’t know how to feel about it 🤔🤔
249,I actually wanna view the world like this.
250,"Thank you for the excellent review. In future reviews, could you please show the MAXIMUM usable distance and setting? It would help those of us interested in using it for finding energy leaks in buildings. Thank you."
251,"Excellent, thorough review. I'd definitely pick up this model if I wanted a handheld unit. Excellent price for the resolution, and UNI-T makes solid products. The temperature switching delay sure is a drawback. I assume it's recalibrating to ensure high accuracy. It's too bad you can't record video directly.

One thing not covered was the USB functionality. From what I understand, it appears as a normal USB camera so you can use any PC program to view/record it, or even hook it to a smartphone as many of those support USB cameras. So you could record video on the go with a smartphone, and view things on a larger screen."
252,"You can buy an official macro lens from Uni-T for the UTi260B, the part number is UT-Z002. I personally just purchased the UTi260E with the UT-Z003 macro lens, very excited to receive it!

Also note that the UTi-320E has a resolution of 320*240"
253,"Thanks for this review, I've been waiting for one on this model. I see there are macro lenses available for the thermal imaging part. For the money it's very good."
254,Nice review.. I ordered the uni-t uti260b from china and is currently on the way now. Can't wait to test it out.
255,"I have the uti260B and have not been able to get USB mode to work. I have tried their own software as well as obs. Windows 10 basically says the device is unrecognized. I really think you should have covered this functionality, recording video and what the software can do."
256,"Nice price for what you get but perhaps a little more time demonstrating the 2 camera mode which will be the reason someone will choose this model would have been better as this 'Fusion' mode can be great if the software can align the two images properly and also can you adjust the transparency of the 2 images to show more or less of the visible light image ? I have used the dual camera system and when set up properly it's a must for me ! and again that is if the software and optics are up to it, demonstrating this on the Arduino or some other board would have been nice too as I feel that you skipped the main reason for buying this model (second perhaps to the resolution) Even with my little winge still a great review...cheers."
257,"This camera with macro lens is better than infiray t2l/t2s for home use? Electronic, device, pcb etc."
258,"I like your review, thanks!"
259,"Thanks, excellent review"
260,Will the UNI-T Thermal Camera Macro Lens UT-Z002 fit his camera
261,I wonder if this uses the GST212W sensor from Global Sensor Technology?
262,"So, for a $300USD budget, what unit is the absolute must buy? I only have an iPhone"
263,My high gain image is clearer than low gain. Is that normal? Low gain is noisy and static
264,"The ""rainbow"" color palette is probably for Predator-fans..."
265,O filmare foarte proasta! Chiar nu vezi reflexele alea???
266,"The sensor resolution is 32 x 32.
Frame rate is 9 Hz.
NETD: 150 mK
Those specs are about as low as you can get, but it's still cool to see this technology slowly becoming more available to the common consumer. A NETD of 150 mK means it will be able to detect a 0.27°F difference in temperature."
267,I am going to DIY solar system and this will be great for making the house efficient before sizing the system and to check the connection after! Great review thanks!
268,Do you think this could be used to find air coming out of ground for cave detection?
269,I’d use it to detect heat loss in my home in the winter in order to plastic my windows right.
270,On sale right now for 159 with 20 dollar coupon. Nice tool to have for those just in case moments!
271,What would you think its ability to detect heat behind Sheetrock.   I need something to see beehives inside walls. They give off a good deal of heat.
272,"Its up to 219.00 now, still not bad."
273,1794? I would love to come over and metal detect on your property!
274,Extremely dangerous if the mains voltage gets ahold of you
275,"Would it help find mice behind a wall?
Also, does it work as a night vision device?"
276,Can you use it to find air leaks on a piece of machinery that uses air cylinders?
277,Thermal cameras help with lithium-ion battery repairs.
278,It's specs are that of a $150 device while right now costs $220... Cool but seems over priced.
279,Would it take pictures of footprints outside at night after you've been there like tracking somebody
280,Can this be used to detect dry wood termites ?
281,Display resolution: 160 x 128
282,what's the resolution? I'd try it for circuit board repair.
283,What is the resolution is it more or less than 14400 p
284,How far will it go? I’m looking for a thermal for coyote hunting but they are all crazy money
285,Will it find wall studs? Wires? Pipes?
286,Omg finally a video were humans don’t die 😂
287,"Thermal vision has some advantages over the natural visible light vision that we have as you mentioned in your video. However, a disadvantage of having thermal vision instead of visible light vision is that high spatial resolution in microscopy would be harder to achieve because microscopic objects that are smaller than half the wavelength of the light that the microscope detects cannot be resolved, i.e., seen distinctly, but will be seen as a blur. Infrared light has longer wavelengths than visible light.

In that case, we may need to conduct research into developing microscopes that can convert the then-invisible ""visible light"" into visible infrared light like how thermal cameras convert infrared light into visible light."
288,"Wait.. so you’re telling me that this is a what if video and we’re not going to die?

IMPOSSIBLE."
289,"Thermal vision would be nice but you should have a function that
you can deactivate it and see normally again."
290,If we had thermal vision we could have easily figured out who farted
291,"Can please do a video on what if we had ultravoilet vision? I've been curious about it ever since I saw the film ""Pitch Black."""
292,"Thanks for the interesting video. Couple of quick questions: (1) IR have three classification (near, mid and far), in order to develop IR stealth material/uniform which one of the classes shall be focused? Isn't it that if someone make far-IR stealth then it will cover both near and mid IR stealth as well? 
(2) Which of these three classes (Near, mid and far IR) are used by military for detecting enemies?"
293,"great video, been watching since you only had a only thousands of subs. keep up the good work :)"
294,What if we had the ability to permeate through objects?
295,"I have seen some videos out there about thermal imaging, where the surface is smooth so you can see a reflection. In thermal vision how is it you can see the outline of the reflection when the surface should be cold?"
296,"I have another idea for another what if video, I am totally blind. And I’m always wondering about different what if’s about sound here’s my idea, what if we had digital hearing? Or what if we had supersonic hearing and rather than hear somebody in the next room, you could hear people from another Country or even another state."
297,We wouldn’t need to use our camera on our phone to see if the batteries in the TV remote are dead anymore! A++ from me!
298,"If we have thermal vision..
1. we can not use phones, computers,etc
2. can not read.
3. No use of expensive clothes.
4. can't see all colours..No greenery..
5. can't differentiate between many things with no heat..
6.
7.
8.
.
.
etc.."
299,If we have normal thermal vision I think we will invent a goggle that is able to let us turn off our thermal vision 😂
300,Your all videos are amazing and your content is just superb 👍👍
301,"Meanwhile, in an alternate universe:
what if humans has visible vision?"
302,Think about it. Thermal has a lot of positives but in this case it has more negatives. Yes you can see heat but you only see heat. Developments like mobile devices would become impossible as the screen would be one colour. So would other technological developments. Determination of basic materials would be very hard. Construction of new items very hard. If we suddenly got thermal vision then survival could be a lot easier but it's a double edged sword with humans. But making new things would become very much close to impossible.
303,What if we can communicate telephatically?
304,I love the fact that mark Zuckerberg was behind him
305,"“Don’t worry, it’s not nuclear radiation, it’s electromagnetic radiation.”
Gamma rays: Exists."
306,"Woah , my brain did a backflip while i was watching this and i mean that in a good way"
307,"The background music you used is the same as my Notification Sounds, so everytime I watch your vids, I thought I got a message"
308,You’re like the new bill nye the science guy💯😂
309,Bro just gave me a whole science lesson In like 60 seconds
310,"Nice video but a couple corrections. Nuclear radiation is electromagnetic radiation too. Infrared is low energy radiation, even lower than visible light which is also em radiation. While nuclear ones like xray is high energy radiation. 
Other one is that infrared doesn't come after red, its before it. Red follows rest of the colours since its the longest wavelength and least energy, all other colours are higher energy and come after it. Before it lies even lower energy waves like infrared and microwaves."
311,Your lectures are true and honest
312,"One correction that nuclear radiation is also on the electromagnetic chart but to the far right so visible light, ultraviolet light, and radio waves aren't as strong and won't give you cancer, actually ultraviolet but u would need a good amount, although they don't give cancer they can still raise your body temp"
313,What is the cheapest one that has a built in normal camera too so it looks better?
314,"Actually infrared radiation, I think it's because hot things emit more IR than cold things"
315,Love the video man
316,Yo bruh wts the budget alternative for mavic enterprises 2 advance for industrial thermal imaging purpose
317,Nuclear radiation IS electromagnetic radiation. Look at the short wavelength side of the electromagnetic spectrum.
318,"House on fire 
ヽ(`д´；)/"
319,Can it see thru blankets? Pls send me a link of the vid review when done.
320,Nuclear radiation is also a part of the electromagnetic spectrum actually.
321,"""nuclear radiation"" is a combination of alpha, beta and gamma rays, and while alpha and beta radiation are not on the electromagnetic spectrum as they are not pure energy and instead are highly energetic atoms as as opposed to pure energy, gamma rays are classed as electromagnetic radiation, and are therefore on the same scale as infrared, just much more powerful."
322,Why tf that bicycle as hot as that human pushing it? Haha
323,"I dont know if that camera is a scoop, but he is."
324,"5️⃣Cat S61
►Amazon US : https://amzn.to/3ukA2Lz
►Amazon CA : https://amzn.to/3CZ0Xzl
►Amazon UK : https://amzn.to/3AV78nz
►Amazon FR : https://amzn.to/3CXbtaA
►Amazon DE : https://amzn.to/3EUlPJY
►Amazon IT : https://amzn.to/3ARuiuZ

4️⃣FLIR ONE Pro Thermal Camera
►Amazon US : https://amzn.to/3ojdIAH
►Amazon CA : https://amzn.to/3umsKqp
►Amazon UK : https://amzn.to/3ijJtWy
►Amazon FR : https://amzn.to/3if7mOY
►Amazon DE : https://amzn.to/3ATofX0
►Amazon IT : https://amzn.to/2Ybu3Np

3️⃣Blackview BV9800 Pro
►Blackview HK : https://lite.al/UCjyZ6
►Amazon US : https://amzn.to/2ZIsCX9
►Amazon FR : https://amzn.to/3kOWgSA
►Amazon DE : https://amzn.to/3ohR7EP
►DealExtreme : https://fas.st/oUa4r
►Cdiscount Pro : https://lite.bz/BbiR2

2️⃣Ulefone Armor 9
►Amazon US : https://amzn.to/2ZvGtjl
►Amazon CA : https://amzn.to/3zS8u1h
►Amazon UK : https://amzn.to/3CVbWtF
►Amazon FR : https://amzn.to/3ASqk5v
►Amazon DE : https://amzn.to/3icyvST
►Amazon IT : https://amzn.to/2ZItuLp

1️⃣Cat S62 Pro
►Amazon US : https://amzn.to/3CVQXHj
►Amazon CA : https://amzn.to/2Y26M0r
►Amazon UK : https://amzn.to/3CQq4nW
►Amazon FR : https://amzn.to/2Y1tq9f
►Amazon DE : https://amzn.to/3ukoFTP
►Amazon IT : https://amzn.to/2Zx7rHm"
325,CAT S62 cannot fight  AGM Glory G1 Pro.
326,"THE NEW THERMAL IMAGING PHONES
If these can see an intruder hiding in your garden, through the glass of your upstairs window, they are very useful for self protection, but I have a feeling a glass window will stop it working well. Right?"
327,When will the Rat be released?
328,Are those good for monitoring electronic devices like a ps5 lets say ?
329,I hate these over editor video it always make it look so amazing they never put someone to really use the phone and give an honest opinion about the product too much money in production of this video.
330,"Hello, whats are the music credits please ?"
331,9Hz camera's are trash. I seen 640x480 30hz thermal camera addons. Also MWIR spectrum ir more preferable than LWIR
332,captain kirk was like not 3ology grr
333,"Most people, Netflix and chill.
GreatScott,    Hot glue and Screw."
334,"Once you have such a camera, you automatically start to find more applications for it.  Like finding leaks in the insulation of your house in winter.  Or finding where your cat is hiding in your bedroom."
335,Personally a thermal camera + ZnSe lens has been invaluable to me in troubleshooting shorted boards. This made a thermal camera well worth it for me.
336,"As limited as the DIY option may be, I actually think I could use it for diagnosing hot spots on PCBs, though the drench it in alcohol method might work better."
337,"If the surface is shiney according to FLIR, just put a piece of painters/masking tape on and you can then measure the objects temp."
338,"You could calibrate the DIY camera for use at a set distance and use it stationary. That way you could set something down in front of it and depending on the size and how far away it was, you could adjust the parameters to measure the X, Y of where the hot pixels are and know very accurately where the component is. It just wouldn't be a handy handheld tool for quick observations."
339,I like your perseverence with getting a good solution with your diy projects! Not an easy task to beat manufacturers in having great products!
340,"One option you didn't explore was the hacking that was done with the SEEK thermal imaging cameras. They are very affordable IR modules with a USB interface, but it's all proprietary. I think they managed to crack the older models but the newer models only produce a raw unprocessed image last time I looked into it."
341,"One thing the commercial camera does that the DIY version does not is overlay the thermal image, which has a fairly low resolution, over a very basic black and white visible image. It gives a lot better view into what's actually going on. If you were to add that to the DIY project, and say, replace the ESP32 with a Raspberry Pi Zero and camera module to add the visible image display, this project can be a lot better."
342,It’s uncanny how well your videos sync up with what I’m working on. I feel like just a few days ago I was thinking about this exact same problem.
343,"Awesome work, dude! Thanks a lot! 😃
Even though it didn't work out, it's a fantastic starting point! I bet we're going to see a fully functional IR camera pretty soon! 😃
Anyway, stay safe and creative there! 🖖😊"
344,"I have the FLIR TG167. It does a good job. I've used it to find thermal ""leak"" around the house, monitored wheel bearing temps on my travel trailer as well as using it for monitoring my electronic circuits."
345,"something you didn't think of: you can simply overlay a LCD without a backlight, over the thermal image, it may need another esp32, but might be worth trying, using another esp or controller would also mean you could lock it to the same framerate as the thermal camera, without needing one controller to do too much work"
346,"The Flir E4 can be ""upgraded"" to the 320x240 E8 with a firmware replacement. Huge value, and you can Google it easily."
347,"I got myself a cheap off-brand version. The resolution is about half way between your DIY and the FLIR; I've used it now and then for troubleshooting and/or augmenting my videos with stills - as it cannot record video. But then, the price was also half way between your options: about 250$ IIRC."
348,"You can always use a laser pointer to show where it's taking the readings or will that interfear with the reading, example laser points at the component imager reads temperate that way you don't need high resolution"
349,"Very helpful video , I just joined a thermal camera company one month ago as calibration engineer 😀👍👍👍
And from the bottom we start from 80*80 sensor and at last we have 640 sensor of Ulis (a French company) very expensive 😂😂"
350,"Actually you can also buy a USB OTG thermal camera which can be plugged into a mobile phone. But anyways, this was a good and informative video! 👍"
351,"Amazing as always.  Thank you for explaining how to troubleshoot with it.  I am going to try that (because my circuits rarely work first time). 
It is obvious that the components you tested for your DIY version are not granular enough for the kind of work you mentioned.
In my mind, that just means you haven't found a better camera module yet with a DIY price tag.  If you could bring the DIY version under $250, then it would still be a good DIY win assuming getting better resolution.
It seems as if finding a module with DMA transfer and hardware DSP to handle the correlational computations would probably require an embedded MCU or PIC, so the price would much higher.
You kinda missed out for this video because tearing down the expensive camera could have shown what model components they use."
352,"Scot, could you try to spend the same amount of money for DIY projects as you would for the ""buy"" option?
This would give a real answer if DIY vs buy. 

Or a small modification: How much money do you need to spend to match the ""buy"" option?
Anyway you doing a great job, I'm from a completely different industry but I'm having a good time while watching your videos."
